SharingUnitID,Year,financial_indegree,financial_outdegree,financial_betweenness,external_lenders_n,external_lenders_prop,fish_indegree,fish_outdegree,fish_betweenness,internal_lenders_n,n_adults,n_children,livelihoods.remittances,livelihoods.activity,MSL2.credit_access,MSL2.expenditure,livelihoods.rank.activity_fishing,livelihoods.rank.activity_gleaning,livelihoods.rank.activity_marketing_mp,livelihoods.rank.activity_salaried_employment,livelihoods.rank.activity_informal_ea,livelihoods.rank.activity_tourism,livelihoods.rank.activity_farming,livelihoods.rank.activity_remittance,livelihoods.rank.activity_other,ageHHH,fishingq.food_consumption,food_insecurity_score,leader,livelihoods.rank.activity_atoll_farming,n_credit_sources,Com_index_commercial_share,Com_index_markets,Com_index_capital,Com_index_gear,pelagic_focus_index
103,2018,0,0,0,0,0,10,0,0,0,1,0,sometimes,informal_ea remittance,no,50,NA,NA,NA,NA,1,NA,NA,2,NA,60,NA,4,1,NA,0,NA,0,NA,0,NA
104,2018,0,3,0,0,0,6,0,0,0,3,4,often,remittance,local_store,250,NA,NA,NA,NA,NA,NA,NA,1,NA,47,NA,0,0,NA,1,NA,0,NA,0,NA
105,2018,0,0,0,0,0,3,0,0,0,2,1,never,fishing gleaning marketing_mp salaried_employment informal_ea,local_store,500,3,3,5,1,2,NA,NA,NA,NA,24,3,6,0,NA,1,0.7,5,2,1.5,0
106,2018,0,0,0,0,0,4,0,0,0,3,6,often,informal_ea remittance,no,15,NA,NA,NA,NA,2,NA,NA,1,NA,58,NA,8,0,NA,0,NA,0,NA,0,NA
107,2018,1,0,0,0,0,4,0,0,1,1,1,often,informal_ea farming remittance,local_store,200,NA,NA,NA,NA,1,NA,3,2,NA,48,NA,2,1,NA,1,NA,0,NA,0,NA
108,2018,0,0,0,0,0,2,0,0,0,2,0,sometimes,informal_ea remittance other,no,500,NA,NA,NA,NA,1,NA,NA,3,2,72,NA,0,0,NA,0,NA,0,NA,0,NA
109,2026,1,3,13,0,0,11,15,1664.132255,1,6,0,sometimes,fishing marketing_mp tourism informal_ea remittance,friends_family,450,1,NA,2,NA,2,3,NA,4,NA,51,1,2,1,NA,1,0.9,3.5,3,2.6,0.102564103
110,2026,5,3,98,0,0,9,8,864.3861245,5,3,2,sometimes,tourism informal_ea fishing remittance,friends_family,200,2,NA,NA,NA,1,3,NA,4,NA,59,2,3,1,NA,1,0.8,3.5,1,1.833333333,0
111,2026,0,0,0,0,0,8,6,417.1212746,0,7,0,never,fishing gleaning marketing_mp tourism farming,no,0,1,3,2,NA,NA,4,5,NA,NA,72,1,4,0,NA,0,0.9,3.5,0,2.5,0.090909091
112,2026,0,0,0,0,0,4,6,238.3615883,0,2,4,never,informal_ea fishing gleaning tourism,no,130,1,3,NA,NA,2,4,NA,NA,NA,36,3,3,0,NA,0,0.7,4.166666667,2,2.85,0.087591241
113,2026,5,2,307,0,0,4,6,554.55184,5,4,3,sometimes,fishing other gleaning marketing_mp informal_ea tourism farming remittance,friends_family,250,1,NA,1,NA,5,2,6,3,4,50,2,6,1,NA,1,0.8,3,3,0,NA
114,2026,4,2,70,0,0,9,21,1629.898878,4,5,6,sometimes,fishing gleaning informal_ea tourism remittance,friends_family,120,1,1,NA,NA,2,3,NA,4,NA,64,2,0,0,NA,1,0.8,4.333333333,2,2.25,0.12
115,2026,1,0,0,0,0,7,5,476.7723651,1,4,5,sometimes,fishing gleaning tourism informal_ea remittance,no,150,1,3,NA,NA,4,2,NA,5,NA,32,3,3,0,NA,0,0.7,4.166666667,3,1.5,0
116,2026,1,3,64,0,0,13,19,2893.961339,1,4,2,often,fishing marketing_mp informal_ea remittance,no,600,1,NA,2,NA,4,NA,NA,3,NA,58,3,3,1,NA,0,0.7,6.416666667,6,1.833333333,0.6
117,2026,10,2,60,7,0.7,15,20,3922.448319,3,5,1,often,fishing remittance informal_ea marketing_mp atoll_farming,friends_family local_store,200,1,NA,2,NA,4,NA,NA,3,NA,36,2,4,0,5,2,0.8,5.916666667,6,4.166666667,0.444444444
118,2026,4,1,0,2,0.5,0,17,0,2,6,4,sometimes,fishing marketing_mp remittance informal_ea,local_store friends_family,500,1,NA,2,NA,3,NA,NA,4,NA,72,2,5,0,NA,2,0.8,5.583333333,6,3.5,0.666666667
119,2026,1,0,0,0,0,5,5,507.7855964,1,4,3,sometimes,fishing marketing_mp informal_ea tourism farming remittance,no,100,1,NA,2,NA,3,5,4,6,NA,56,5,3,1,NA,0,0.5,3.166666667,3,2.833333333,0.068965517
120,2026,1,2,2,0,0,11,10,1206.007983,1,4,2,sometimes,remittance fishing informal_ea marketing_mp tourism farming gleaning salaried_employment,banks_institutions friends_family,500,1,4,1,NA,2,3,6,5,NA,39,2,5,0,NA,2,0.8,3.5,3,2.5,0.181818182
121,2026,4,0,0,1,0.25,6,8,764.6009269,3,9,4,sometimes,fishing salaried_employment tourism gleaning marketing_mp remittance,banks_institutions friends_family,300,2,3,1,1,NA,3,NA,4,NA,57,1,4,1,NA,2,0.9,4.333333333,3,2.25,0.186915888
122,2026,4,2,31,1,0.25,8,10,909.254517,3,3,0,often,fishing remittance,friends_family banks_institutions,200,2,NA,NA,NA,NA,NA,NA,1,NA,73,7,2,1,NA,2,0.3,3.5,2,2.5,0.333333333
123,2026,2,0,0,1,0.5,3,7,265.3064066,1,2,4,often,fishing marketing_mp tourism salaried_employment,friends_family,50,1,NA,3,2,NA,NA,NA,NA,NA,NA,1,6,0,NA,1,0.9,3.5,2,3,0.181818182
124,2026,4,10,363,3,0.75,11,15,1608.480225,1,2,4,never,tourism informal_ea fishing salaried_employment,no,150,1,NA,NA,2,4,3,NA,NA,NA,45,2,6,1,NA,0,0.8,4,2,3.166666667,0.272727273
125,2026,1,2,29,0,0,8,11,458.5583086,1,3,1,sometimes,fishing tourism remittance gleaning,no,50,1,4,NA,NA,NA,2,NA,3,NA,62,2,3,1,NA,0,0.8,3.5,3,3.5,0.545454545
126,2026,0,0,0,0,0,5,5,235.7682949,0,3,5,sometimes,fishing gleaning tourism informal_ea remittance,no,100,1,1,NA,NA,2,3,NA,4,NA,40,3,4,0,NA,0,0.7,3,2,3.833333333,0.48
127,2026,1,0,0,1,1,6,8,403.4346284,0,4,4,sometimes,fishing gleaning marketing_mp informal_ea tourism farming remittance,group_cooperative friends_family,100,1,4,3,NA,2,4,6,5,NA,38,1,4,0,NA,2,0.9,4.333333333,3,2.5,0.163934426
128,2026,4,3,196,0,0,6,8,649.7552198,4,6,2,sometimes,salaried_employment,group_cooperative banks_institutions friends_family,300,NA,NA,NA,1,NA,NA,NA,NA,NA,53,NA,0,1,NA,3,NA,0,NA,0,NA
129,2026,0,0,0,0,0,4,6,597.4353312,0,2,1,sometimes,fishing marketing_mp remittance other,local_store friends_family group_cooperative,250,1,NA,2,NA,NA,NA,NA,4,3,58,2,9,0,NA,3,0.8,4.333333333,2,2.5,0.285714286
130,2026,3,6,297.5,0,0,8,7,598.1845913,3,2,0,often,informal_ea fishing remittance gleaning,friends_family,50,2,3,NA,NA,1,NA,NA,4,NA,64,3,2,1,NA,1,0.7,2,3,1.5,0
131,2026,1,0,0,0,0,3,11,326.5334917,1,4,0,sometimes,fishing gleaning informal_ea tourism farming remittance,friends_family,300,1,1,NA,NA,2,3,4,5,NA,55,1,0,0,NA,1,0.9,4.166666667,3,3.833333333,0.48
