SharingUnitID,Year,financial_indegree,financial_outdegree,financial_betweenness,external_lenders_n,external_lenders_prop,fish_indegree,fish_outdegree,fish_betweenness,internal_lenders_n,n_adults,n_children,livelihoods.remittances,livelihoods.activity,MSL2.credit_access,MSL2.expenditure,livelihoods.rank.activity_fishing,livelihoods.rank.activity_gleaning,livelihoods.rank.activity_marketing_mp,livelihoods.rank.activity_salaried_employment,livelihoods.rank.activity_informal_ea,livelihoods.rank.activity_tourism,livelihoods.rank.activity_farming,livelihoods.rank.activity_remittance,livelihoods.rank.activity_other,ageHHH,fishingq.food_consumption,food_insecurity_score,leader,livelihoods.rank.activity_atoll_farming,n_credit_sources,Com_index_commercial_share,Com_index_markets,Com_index_capital,Com_index_gear,pelagic_focus_index
178,2026,0,1,0,0,0,5,6,308.1387088,0,3,1,never,fishing marketing_mp informal_ea tourism gleaning,banks_institutions,300,1,4,3,NA,2,5,NA,NA,NA,57,1,1,1,NA,1,0.9,4.166666667,3,3.666666667,0.208955224
179,2026,4,0,0,4,1,6,4,337.709848,0,6,3,sometimes,fishing informal_ea tourism marketing_mp gleaning remittance,local_store friends_family,20,1,2,3,NA,4,5,NA,6,NA,50,2,7,0,NA,2,0.8,3,0,1.5,0.166666667
180,2026,1,3,57,1,1,5,5,215.1528709,0,5,2,sometimes,fishing gleaning marketing_mp informal_ea tourism farming,friends_family,150,1,NA,4,NA,3,2,5,NA,NA,47,1,4,1,NA,1,0.9,4.166666667,2,2.5,0.333333333
181,2026,2,8,285,1,0.5,5,8,666.7251439,1,4,2,sometimes,informal_ea tourism gleaning fishing farming remittance,friends_family,200,2,3,NA,NA,1,4,5,6,NA,56,1,6,0,NA,1,0.9,4.166666667,2,2,0.181818182
182,2026,4,4,386,0,0,6,5,1001.390131,4,2,1,sometimes,fishing marketing_mp informal_ea tourism gleaning farming remittance,friends_family,150,1,7,4,NA,5,2,3,6,NA,51,1,7,0,NA,1,0.9,4.166666667,6,3.166666667,0.245901639
183,2026,1,14,62,0,0,7,5,529.0375796,1,3,3,sometimes,fishing marketing_mp gleaning informal_ea tourism atoll_farming remittance,friends_family,250,2,5,3,NA,1,4,NA,7,NA,48,2,6,0,6,1,0.8,4.166666667,2,2.5,0.16
184,2026,3,0,0,2,0.666666667,5,3,42.00626261,1,5,0,never,tourism farming fishing gleaning,friends_family,50,1,4,NA,NA,NA,1,3,NA,NA,37,2,7,0,NA,1,0.8,3.5,0,2.166666667,0
185,2026,1,0,0,0,0,6,8,506.1287565,1,1,0,sometimes,informal_ea remittance,friends_family,50,NA,NA,NA,NA,1,NA,NA,2,NA,68,NA,4,1,NA,1,NA,0,NA,0,NA
186,2026,2,0,0,0,0,5,6,289.755925,2,6,2,sometimes,fishing marketing_mp tourism remittance informal_ea atoll_farming,friends_family,150,3,NA,1,NA,2,4,NA,6,NA,58,2,4,1,5,1,0.8,4.333333333,3,1.933333333,0.112149533
187,2026,3,2,22,0,0,3,4,186.6333809,3,4,0,often,informal_ea tourism remittance farming,friends_family,100,NA,NA,NA,NA,1,2,3,4,NA,51,NA,2,1,NA,1,NA,0,NA,0,NA
188,2026,1,0,0,0,0,13,2,733.0793819,1,2,0,sometimes,remittance,no,0,NA,NA,NA,NA,NA,NA,NA,1,NA,81,NA,4,0,NA,0,NA,0,NA,0,NA
189,2026,2,0,0,1,0.5,3,5,349.15634,1,2,1,sometimes,fishing gleaning marketing_mp informal_ea atoll_farming remittance,friends_family local_store,150,1,3,2,NA,5,NA,NA,4,NA,57,2,7,0,6,2,0.8,3.833333333,2,1.5,0
190,2026,1,1,0,0,0,3,3,32.12588747,1,5,1,often,informal_ea tourism remittance,no,50,NA,NA,NA,NA,3,2,NA,1,NA,43,NA,5,1,NA,0,NA,0,NA,0,NA
191,2026,0,1,0,0,0,10,9,821.0413954,0,3,3,sometimes,fishing gleaning informal_ea tourism remittance marketing_mp farming,friends_family,150,1,1,1,NA,2,3,4,5,NA,40,2,6,1,NA,1,0.8,3.5,3,2.25,0.12
192,2026,0,0,0,0,0,4,4,58.84235096,0,2,1,often,fishing informal_ea remittance marketing_mp,no,120,1,NA,2,NA,4,NA,NA,3,NA,49,2,8,1,NA,0,0.8,3.5,3,3,0.285714286
193,2026,0,0,0,0,0,4,1,36.16630933,0,1,1,sometimes,tourism informal_ea fishing gleaning remittance atoll_farming,group_cooperative,20,3,2,NA,NA,2,1,NA,3,NA,56,2,0,1,4,1,0.8,2,0,1,0
194,2026,3,4,230,0,0,6,7,754.9898248,3,4,1,sometimes,fishing gleaning tourism informal_ea remittance,friends_family local_store,60,1,4,NA,NA,5,2,NA,3,NA,71,5,3,0,NA,2,0.5,3.5,0,1.5,0
195,2026,0,0,0,0,0,5,6,260.3311777,0,1,3,never,fishing marketing_mp,no,30,1,NA,2,NA,NA,NA,NA,NA,NA,45,2,6,0,NA,0,0.8,3.833333333,0,1.75,0.128205128
196,2026,4,1,49,3,0.75,0,6,0,1,2,1,sometimes,fishing gleaning tourism marketing_mp,local_store friends_family,50,1,2,3,NA,NA,4,NA,NA,NA,39,3,1,1,NA,2,0.7,0,2,2.166666667,0
197,2026,0,0,0,0,0,5,5,681.1363442,0,1,0,sometimes,remittance,no,0,NA,NA,NA,NA,NA,NA,NA,1,NA,73,NA,6,0,NA,0,NA,0,NA,0,NA
198,2026,5,4,283,1,0.2,8,1,160.8903671,4,2,2,sometimes,salaried_employment fishing gleaning informal_ea tourism atoll_farming remittance,friends_family banks_institutions,700,2,7,NA,1,3,4,NA,8,NA,50,10,3,NA,5,2,0,3.833333333,3,5,0.518518519
199,2026,4,1,47,2,0.5,7,6,540.4825632,2,6,1,sometimes,fishing marketing_mp informal_ea tourism salaried_employment gleaning remittance,friends_family local_store,150,2,6,3,4,1,5,NA,7,NA,50,2,3,1,NA,2,0.8,3.833333333,2,5,0.606060606
200,2026,0,0,0,0,0,7,1,81.43968254,0,4,3,often,informal_ea fishing gleaning tourism remittance,local_store,500,2,2,NA,NA,1,3,NA,4,NA,84,2,2,1,NA,1,0.8,2,0,1.75,0.06
201,2026,0,0,0,0,0,5,1,59.54623836,0,2,0,sometimes,tourism remittance fishing,no,300,2,NA,NA,NA,NA,1,NA,3,NA,55,2,6,1,NA,0,0.8,3.166666667,3,0,NA
202,2026,0,0,0,0,0,6,1,43.87235265,0,1,0,often,remittance,no,50,NA,NA,NA,NA,NA,NA,NA,1,NA,76,NA,0,1,NA,0,NA,0,NA,0,NA
203,2026,5,4,116,2,0.4,9,5,363.4914701,3,4,4,sometimes,fishing tourism gleaning remittance,friends_family,100,1,2,NA,NA,NA,3,NA,4,NA,55,5,5,1,NA,1,0.5,3,1,1.5,0
204,2026,0,0,0,0,0,4,6,320.3039183,0,5,0,never,fishing gleaning marketing_mp tourism informal_ea,friends_family,20,3,5,4,NA,1,2,NA,NA,NA,62,2,15,1,NA,1,0.8,4.333333333,0,0,NA
205,2026,1,0,0,0,0,6,3,153.4796699,1,2,1,sometimes,fishing gleaning tourism remittance informal_ea,no,150,2,3,NA,NA,1,4,NA,5,NA,72,5,5,1,NA,0,0.5,2,0,1.5,0
206,2026,0,0,0,0,0,8,1,4.078151261,0,2,0,NA,marketing_mp tourism informal_ea,no,50,NA,NA,2,NA,1,3,NA,NA,NA,74,NA,5,1,NA,0,NA,0,NA,0,NA
207,2026,7,3,117,4,0.571428571,6,4,453.516535,3,4,0,sometimes,remittance fishing gleaning informal_ea,friends_family local_store,75,1,4,NA,NA,2,NA,NA,3,NA,67,3,5,0,NA,2,0.7,0,2,3,0.145985401
208,2026,3,1,12,0,0,7,6,421.1800172,3,3,5,often,fishing informal_ea marketing_mp gleaning tourism remittance,friends_family local_store,550,4,5,2,NA,1,3,NA,6,NA,38,2,9,0,NA,2,0.8,4.333333333,3,2.833333333,0.272727273
209,2026,2,2,141,0,0,4,3,179.3660385,2,2,3,sometimes,fishing marketing_mp other informal_ea gleaning tourism remittance farming,friends_family local_store,60,1,5,1,NA,3,6,7,4,2,58,1,0,0,NA,2,0.9,4.166666667,3,2.7,0.256410256
210,2026,0,0,0,0,0,8,3,128.3316578,0,2,3,sometimes,informal_ea fishing gleaning remittance,no,50,2,3,NA,NA,1,NA,NA,4,NA,NA,5,3,NA,NA,0,0.5,3,2,2.25,0.12
211,2026,0,0,0,0,0,4,2,50.49938935,0,2,4,often,tourism marketing_mp farming fishing gleaning remittance informal_ea,no,200,1,6,5,NA,4,2,3,7,NA,64,1,4,0,NA,0,0.9,3.166666667,0,1.5,0
212,2026,0,0,0,0,0,9,3,330.2787343,0,1,0,often,fishing marketing_mp remittance,no,10,1,NA,2,NA,NA,NA,NA,3,NA,55,5,7,1,NA,0,0.5,4.333333333,3,3.366666667,0.245901639
213,2026,2,1,0,1,0.5,7,5,603.3299933,1,2,3,sometimes,informal_ea gleaning tourism remittance marketing_mp fishing,friends_family,200,3,4,6,NA,1,2,NA,5,NA,35,5,5,0,NA,1,0.5,4.333333333,0,1,0
214,2026,0,0,0,0,0,2,0,0,0,3,8,often,remittance tourism gleaning fishing,no,100,4,3,NA,NA,NA,2,NA,1,NA,63,10,0,0,NA,0,0,0,0,1,0
215,2026,1,0,0,0,0,3,0,0,1,1,0,sometimes,other remittance,friends_family,300,NA,NA,NA,NA,NA,NA,NA,2,1,66,NA,3,1,NA,1,NA,0,NA,0,NA
216,2026,0,0,0,0,0,9,0,0,0,1,0,never,informal_ea,no,100,NA,NA,NA,NA,1,NA,NA,NA,NA,71,NA,9,1,NA,0,NA,0,NA,0,NA
